,Name,Price,Make,Model,Engine Size,Fuel Type,Odometer,Transmission,Body Type,Manufacturing Year,County,Doors,Color,Owners,Tax Expiry,NCT Expiry,URL
788,MERCEDES-BENZ GLC CLASS,POA,MERCEDES-BENZ,GLC,3.0,Diesel,"225,127",Automatic,Van,2018,Wexford,4,Black,3,Dec-2022,-,http://www.cars.ie/used-cars/MERCEDES-BENZ-GLC-CLASS-2018-Wexford-1735816
789,LAND ROVER DISCOVERY,"€24,995",LAND,ROVER,1.6,Diesel,"135,003",Manual,MPV,2014,Kerry,4,Grey,2,Mar-2022,Jan-2025,http://www.cars.ie/used-cars/LAND-ROVER-DISCOVERY-2014-Kerry-1735809
790,NISSAN X-TRAIL,"€19,995",NISSAN,X-TRAIL,2.0,Diesel,"102,002",Manual,Van,2017,Wexford,5,White,1,Feb-2023,Jan-2024,http://www.cars.ie/used-cars/NISSAN-X-TRAIL-2017-Wexford-1735815
791,VOLKSWAGEN CADDY,"€13,375",VOLKSWAGEN,CADDY,2.0,Diesel,"192,004",Automatic,Saloon,2019,Kildare,4,Grey,1,Dec-2022,Jun-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-CADDY-2019-Kildare-1735801
792,VOLKSWAGEN PASSAT,"€18,450",VOLKSWAGEN,PASSAT,1.7,Diesel,"188,013",Manual,Saloon,2018,Kildare,4,Black,1,Jul-2023,Jul-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-PASSAT-2018-Kildare-1735802
793,HYUNDAI I40,"€13,950",HYUNDAI,I40,2.0,Diesel,"199,503",Manual,Van,2018,Kildare,5,Black,1,Dec-2022,-,http://www.cars.ie/used-cars/HYUNDAI-I40-2018-Kildare-1735800
794,VOLKSWAGEN CADDY,"€9,715",VOLKSWAGEN,CADDY,0.0,Petrol,"74,030",Manual,Hatchback,2017,Kildare,5,Wine,1,-,Nov-2024,http://www.cars.ie/used-cars/VOLKSWAGEN-CADDY-2017-Kildare-1735799
795,RENAULT CLIO,"€12,950",RENAULT,CLIO,3.0,Diesel,"49,001",Automatic,Estate,2018,Dublin,5,Blue,1,Jul-2023,Jul-2024,http://www.cars.ie/used-cars/RENAULT-CLIO-2018-Dublin-1735806
796,LAND ROVER DISCOVERY,POA,LAND,ROVER,2.0,Diesel,"179,004",Manual,Hatchback,2020,Dublin,5,Grey,2,Nov-2022,Jan-2025,http://www.cars.ie/used-cars/LAND-ROVER-DISCOVERY-2020-Dublin-1735838
797,VOLVO V40,"€14,950",VOLVO,V40,2.4,Diesel,"104,002",Automatic,SUV,2017,Dublin,5,Silver,3,Sep-2022,Nov-2023,http://www.cars.ie/used-cars/VOLVO-V40-2017-Dublin-1735805
798,VOLVO XC60,"€15,950",VOLVO,XC60,1.6,Petrol,"14,000",Manual,Saloon,2013,Dublin,4,White,2,Apr-2023,Aug-2024,http://www.cars.ie/used-cars/VOLVO-XC60-2013-Dublin-1735808
799,MERCEDES-BENZ CLA CLASS,"€24,999",MERCEDES-BENZ,CLA,1.6,Diesel,"240,983",Manual,Hatchback,2016,Dublin,4,Blue,-,Sep-2022,May-2023,http://www.cars.ie/used-cars/MERCEDES-BENZ-CLA-CLASS-2016-Dublin-1735804
800,FORD FOCUS,"€10,995",FORD,FOCUS,1.8,Petrol,"119,011",Automatic,Hatchback,2015,Donegal,5,Silver,1,-,-,http://www.cars.ie/used-cars/FORD-FOCUS-2015-Donegal-1735441
801,TOYOTA PRIUS,"€19,490",TOYOTA,PRIUS,2.2,Diesel,"55,255",Manual,SUV,2017,Dublin,4,Brown,1,Dec-2022,Jan-2023,http://www.cars.ie/used-cars/TOYOTA-PRIUS-2017-Dublin-1735677
802,MITSUBISHI OUTLANDER,"€34,950",MITSUBISHI,OUTLANDER,2.0,Petrol,"85,295",Automatic,SUV,2019,Kildare,5,Black,1,Jun-2023,Jun-2024,http://www.cars.ie/used-cars/MITSUBISHI-OUTLANDER-2019-Kildare-1735525
803,BMW X5,"€52,995",BMW,X5,2.0,Diesel,"77,998",Manual,Van,2018,Mayo,3,White,1,Jul-2023,-,http://www.cars.ie/used-cars/BMW-X5-2018-Mayo-1735440
